date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
7/8/2019,297.01,296.82,298.26,296.22,45841772,297.01,296.82,298.26,296.22,45841772,-1.64,-0.5495,8-Jul-19,0.025002
7/9/2019,295.54,297.19,297.52,295.48,41101279,295.54,297.19,297.52,295.48,41101279,0.37,0.1247,9-Jul-19,0.026279
7/10/2019,298.37,298.61,299.66,297.78,58595558,298.37,298.61,299.66,297.78,58595558,1.42,0.4778,10-Jul-19,0.031183
7/11/2019,299.32,299.31,299.58,298.2,50889481,299.32,299.31,299.58,298.2,50889481,0.7,0.2344,11-Jul-19,0.0336
7/12/2019,299.85,300.65,300.73,299.51,40354410,299.85,300.65,300.73,299.51,40354410,1.34,0.4477,12-Jul-19,0.038228
7/15/2019,301.13,300.75,301.13,300.19,33910261,301.13,300.75,301.13,300.19,33910261,0.1,0.0333,15-Jul-19,0.038573
7/16/2019,300.65,299.71,300.88,299.44,40567964,300.65,299.71,300.88,299.44,40567964,-1.04,-0.3458,16-Jul-19,0.034982
7/17/2019,299.75,297.74,299.93,297.74,44102443,299.75,297.74,299.93,297.74,44102443,-1.97,-0.6573,17-Jul-19,0.028179
7/18/2019,297.19,298.83,299.25,296.7,51701687,297.19,298.83,299.25,296.7,51701687,1.09,0.3661,18-Jul-19,0.031943
7/19/2019,300.04,297.17,300.07,296.96,71081238,300.04,297.17,300.07,296.96,71081238,-1.66,-0.5555,19-Jul-19,0.02621
7/22/2019,297.61,297.9,298.5,297.04,43687404,297.61,297.9,298.5,297.04,43687404,0.73,0.2457,22-Jul-19,0.028731
7/23/2019,299.14,300.03,300.03,298.22,44657973,299.14,300.03,300.03,298.22,44657973,2.13,0.715,23-Jul-19,0.036087
7/24/2019,299.19,301.44,301.44,299.09,47213232,299.19,301.44,301.44,299.09,47213232,1.41,0.47,24-Jul-19,0.040956
7/25/2019,300.94,300,301,299.11,55394092,300.94,300,301,299.11,55394092,-1.44,-0.4777,25-Jul-19,0.035983
7/26/2019,300.76,302.01,302.23,300.62,45084077,300.76,302.01,302.23,300.62,45084077,2.01,0.67,26-Jul-19,0.042924
7/29/2019,301.88,301.46,301.93,300.85,38126462,301.88,301.46,301.93,300.85,38126462,-0.55,-0.1821,29-Jul-19,0.041025
7/30/2019,299.91,300.72,301.17,299.49,45849045,299.91,300.72,301.17,299.49,45849045,-0.74,-0.2455,30-Jul-19,0.03847
7/31/2019,300.99,297.43,301.2,295.2,104245162,300.99,297.43,301.2,295.2,104245162,-3.29,-1.094,31-Jul-19,0.027108
8/1/2019,297.6,294.84,300.87,293.96,142646576,297.6,294.84,300.87,293.96,142646576,-2.59,-0.8708,1-Aug-19,0.018164
8/2/2019,293.85,292.62,294.12,290.9,116749695,293.85,292.62,294.12,290.9,116749695,-2.22,-0.753,2-Aug-19,0.010498
8/5/2019,288.09,283.82,288.21,281.72,178745449,288.09,283.82,288.21,281.72,178745449,-8.8,-3.0073,5-Aug-19,-0.019891
8/6/2019,285.91,287.8,288.04,284.28,120711682,285.91,287.8,288.04,284.28,120711682,3.98,1.4023,6-Aug-19,-0.006147
8/7/2019,284.4,287.97,288.82,282.04,140572265,284.4,287.97,288.82,282.04,140572265,0.17,0.0591,7-Aug-19,-0.00556
8/8/2019,289.62,293.62,293.62,289.01,87713904,289.62,293.62,293.62,289.01,87713904,5.65,1.962,8-Aug-19,0.013951
8/9/2019,292.58,291.62,293.24,289.65,93729958,292.58,291.62,293.24,289.65,93729958,-2,-0.6812,9-Aug-19,0.007045
8/12/2019,289.96,288.07,291.61,287.02,65527630,289.96,288.07,291.61,287.02,65527630,-3.55,-1.2173,12-Aug-19,-0.005214
8/13/2019,287.74,292.55,294.15,287.36,94792972,287.74,292.55,294.15,287.36,94792972,4.48,1.5552,13-Aug-19,0.010256
8/14/2019,288.07,283.9,292.46,283.76,135622053,288.07,283.9,292.46,283.76,135622053,-8.65,-2.9568,14-Aug-19,-0.019615
8/15/2019,284.88,284.65,285.64,282.39,101929845,284.88,284.65,285.64,282.39,101929845,0.75,0.2642,15-Aug-19,-0.017025
8/16/2019,286.48,288.85,289.33,284.71,85825286,286.48,288.85,289.33,284.71,85825286,4.2,1.4755,16-Aug-19,-0.002521
8/19/2019,292.19,292.33,293.08,291.44,53640153,292.19,292.33,293.08,291.44,53640153,3.48,1.2048,19-Aug-19,0.009497
8/20/2019,291.77,290.09,292.36,289.95,51652752,291.77,290.09,292.36,289.95,51652752,-2.24,-0.7663,20-Aug-19,0.001761
8/21/2019,292.48,292.45,292.86,291.72,49723430,292.48,292.45,292.86,291.72,49723430,2.36,0.8135,21-Aug-19,0.009911
8/22/2019,293.23,292.36,293.93,290.4,51739292,293.23,292.36,293.93,290.4,51739292,-0.09,-0.0308,22-Aug-19,0.0096
8/23/2019,290.92,284.85,292.76,283.47,149318151,290.92,284.85,292.76,283.47,149318151,-7.51,-2.5688,23-Aug-19,-0.016334
8/26/2019,287.27,288,288,285.58,72620598,287.27,288,288,285.58,72620598,3.15,1.1058,26-Aug-19,-0.005456
8/27/2019,289.54,286.87,289.95,286.03,68262998,289.54,286.87,289.95,286.03,68262998,-1.13,-0.3924,27-Aug-19,-0.009358
8/28/2019,286.14,288.89,289.07,285.25,59852324,286.14,288.89,289.07,285.25,59852324,2.02,0.7042,28-Aug-19,-0.002383
8/29/2019,291.72,292.58,293.16,290.61,57998913,291.72,292.58,293.16,290.61,57998913,3.69,1.2773,29-Aug-19,0.01036
8/30/2019,294.22,292.45,294.24,291.42,62961780,294.22,292.45,294.24,291.42,62961780,-0.13,-0.0444,30-Aug-19,0.009911
9/3/2019,290.57,290.74,291.58,289.27,69231875,290.57,290.74,291.58,289.27,69231875,-1.71,-0.5847,3-Sep-19,0.004006
9/4/2019,293.14,294.04,294.06,292.31,47003957,293.14,294.04,294.06,292.31,47003957,3.3,1.135,4-Sep-19,0.015402
9/5/2019,296.79,297.82,298.83,294,83356779,296.79,297.82,298.83,294,83356779,3.78,1.2855,5-Sep-19,0.028455
9/6/2019,298.17,298.05,298.76,297.42,49584290,298.17,298.05,298.76,297.42,49584290,0.23,0.0772,6-Sep-19,0.029249
9/9/2019,299.14,298.2,299.24,297.16,51260290,299.14,298.2,299.24,297.16,51260290,0.15,0.0503,9-Sep-19,0.029767
9/10/2019,297.36,298.13,298.2,295.97,57947101,297.36,298.13,298.2,295.97,57947101,-0.07,-0.0235,10-Sep-19,0.029526
9/11/2019,298.47,300.25,300.34,297.75,68821066,298.47,300.25,300.34,297.75,68821066,2.12,0.7111,11-Sep-19,0.036846
9/12/2019,301.25,301.29,302.46,300.41,72908745,301.25,301.29,302.46,300.41,72908745,1.04,0.3464,12-Sep-19,0.040438
9/13/2019,301.78,301.09,302.17,300.68,62104838,301.78,301.09,302.17,300.68,62104838,-0.2,-0.0664,13-Sep-19,0.039747
9/16/2019,299.84,300.16,301.14,299.45,58191175,299.84,300.16,301.14,299.45,58191175,-0.93,-0.3089,16-Sep-19,0.036536
9/17/2019,299.94,300.92,301.02,299.75,42904427,299.94,300.92,301.02,299.75,42904427,0.76,0.2532,17-Sep-19,0.03916
9/18/2019,300.49,301.1,301.22,298.24,74192091,300.49,301.1,301.22,298.24,74192091,0.18,0.0598,18-Sep-19,0.039782
9/19/2019,301.53,301.08,302.63,300.71,78099215,301.53,301.08,302.63,300.71,78099215,-0.02,-0.0066,19-Sep-19,0.039713
9/20/2019,300.36,298.28,300.67,297.41,97455979,300.36,298.28,300.67,297.41,97455979,-2.8,-0.93,20-Sep-19,0.030044
9/23/2019,297.55,298.21,299,297.27,47541321,297.55,298.21,299,297.27,47541321,-0.07,-0.0235,23-Sep-19,0.029802
9/24/2019,299.41,295.87,299.84,294.81,97367568,299.41,295.87,299.84,294.81,97367568,-2.34,-0.7847,24-Sep-19,0.021721
9/25/2019,295.96,297.62,298.11,294.33,73434081,295.96,297.62,298.11,294.33,73434081,1.75,0.5915,25-Sep-19,0.027764
9/26/2019,297.63,297,297.86,295.45,58722357,297.63,297,297.86,295.45,58722357,-0.62,-0.2083,26-Sep-19,0.025623
9/27/2019,297.83,295.4,297.95,293.69,84781110,297.83,295.4,297.95,293.69,84781110,-1.6,-0.5387,27-Sep-19,0.020098
9/30/2019,295.97,296.77,297.55,295.92,52562761,295.97,296.77,297.55,295.92,52562761,1.37,0.4638,30-Sep-19,0.024829
10/1/2019,297.74,293.24,298.45,293,89900420,297.74,293.24,298.46,293,89900420,-3.53,-1.1895,1-Oct-19,0.012639
10/2/2019,291.5,288.06,291.51,286.64,124523974,291.5,288.06,291.51,286.64,124523974,-5.18,-1.7665,2-Oct-19,-0.005249
10/3/2019,287.81,290.42,290.45,284.82,85906799,287.81,290.42,290.45,284.82,85906799,2.36,0.8193,3-Oct-19,0.002901
10/4/2019,291.14,294.35,294.63,290.82,66700681,291.14,294.35,294.63,290.82,66700681,3.93,1.3532,4-Oct-19,0.016472
10/7/2019,293.47,293.08,295.26,292.77,60656561,293.47,293.08,295.26,292.77,60656561,-1.27,-0.4315,7-Oct-19,0.012086
10/8/2019,291.04,288.53,291.85,288.49,101575470,291.04,288.53,291.85,288.49,101575470,-4.55,-1.5525,8-Oct-19,-0.003626
10/9/2019,290.75,291.27,292.3,288.66,65707329,290.75,291.27,292.3,288.66,65707329,2.74,0.9496,9-Oct-19,0.005836
10/10/2019,291.18,293.24,294.21,291,57255974,291.18,293.24,294.21,291,57255974,1.97,0.6763,10-Oct-19,0.012639
10/11/2019,296.27,296.28,298.74,296.14,101228577,296.27,296.28,298.74,296.14,101228577,3.04,1.0367,11-Oct-19,0.023137
10/14/2019,295.93,295.95,296.67,295.57,40546668,295.93,295.95,296.67,295.57,40546668,-0.33,-0.1114,14-Oct-19,0.021997
10/15/2019,297.1,298.88,299.7,296.97,47832356,297.1,298.88,299.7,296.97,47832356,2.93,0.99,15-Oct-19,0.032115
10/16/2019,298.37,298.4,299.16,297.92,50563596,298.37,298.4,299.16,297.92,50563596,-0.48,-0.1606,16-Oct-19,0.030458
10/17/2019,299.68,299.28,300.24,298.51,46784885,299.68,299.28,300.24,298.52,46784885,0.88,0.2949,17-Oct-19,0.033497
10/18/2019,298.69,297.97,299.39,296.99,64338028,298.69,297.97,299.4,296.99,64338028,-1.31,-0.4377,18-Oct-19,0.028973
10/21/2019,299.42,299.99,300.21,298.94,39460901,299.42,299.99,300.21,298.94,39460901,2.02,0.6779,21-Oct-19,0.035949
10/22/2019,300.58,299.01,300.9,298.91,49126038,300.58,299.01,300.9,298.91,49126038,-0.98,-0.3267,22-Oct-19,0.032564
10/23/2019,298.73,299.88,299.94,298.5,34991829,298.73,299.88,299.94,298.5,34991829,0.87,0.291,23-Oct-19,0.035569
