date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
8/30/2019,143.84,143.75,144.88,143.02,9642584,143.84,143.75,144.88,143.02,9642584,-0.37,-0.2567,30-Aug-19,0.135466
9/3/2019,144.96,145.75,146.13,144.74,15621873,144.96,145.75,146.13,144.74,15621873,2,1.3913,3-Sep-19,0.151264
9/4/2019,145.54,146.66,146.82,145.5,11292000,145.54,146.66,146.82,145.5,11292000,0.91,0.6244,4-Sep-19,0.158452
9/5/2019,144.98,143.14,145.01,142,20297877,144.98,143.14,145.02,142,20297877,-3.52,-2.4001,5-Sep-19,0.130648
9/6/2019,143.64,141.92,144.06,141.86,14175216,143.64,141.92,144.06,141.86,14175216,-1.22,-0.8523,6-Sep-19,0.121011
9/9/2019,142.37,141.39,142.46,141.18,11323819,142.37,141.39,142.46,141.18,11323819,-0.53,-0.3734,9-Sep-19,0.116825
9/10/2019,141.23,140.18,141.53,140.16,12629208,141.23,140.18,141.53,140.16,12629208,-1.21,-0.8558,10-Sep-19,0.107267
9/11/2019,140.34,141.03,141.26,140.28,7453049,140.34,141.03,141.26,140.28,7453049,0.85,0.6064,11-Sep-19,0.113981
9/12/2019,142.68,141.32,143.1,141.11,12673707,142.68,141.32,143.1,141.11,12673707,0.29,0.2056,12-Sep-19,0.116272
9/13/2019,141.73,140.15,141.99,140.06,13451701,141.73,140.15,141.99,140.06,13451701,-1.17,-0.8279,13-Sep-19,0.10703
9/16/2019,141.6,141.32,142.05,141.02,8094567,141.6,141.32,142.05,141.02,8094567,1.17,0.8348,16-Sep-19,0.116272
9/17/2019,141.82,141.6,142.11,141.22,7046430,141.82,141.6,142.11,141.22,7046430,0.28,0.1981,17-Sep-19,0.118483
9/18/2019,141.93,140.71,142.53,139.81,15071647,141.93,140.71,142.53,139.81,15071647,-0.89,-0.6285,18-Sep-19,0.111453
9/19/2019,141.57,141.28,141.74,141.09,8062589,141.57,141.28,141.74,141.09,8062589,0.57,0.4051,19-Sep-19,0.115956
9/20/2019,141.61,142.95,143.03,141.46,12276521,141.61,142.95,143.03,141.46,12276521,1.67,1.182,20-Sep-19,0.129147
9/23/2019,143.22,143.75,143.94,143.07,9036267,143.22,143.75,143.94,143.07,9036267,0.8,0.5596,23-Sep-19,0.135466
9/24/2019,143.21,144.51,144.77,142.88,10620690,143.21,144.51,144.77,142.88,10620690,0.76,0.5287,24-Sep-19,0.141469
9/25/2019,144.08,141.83,144.29,141.44,11997855,144.08,141.83,144.29,141.44,11997855,-2.68,-1.8545,25-Sep-19,0.1203
9/26/2019,142.19,141.79,142.57,141.56,8803139,142.19,141.79,142.57,141.56,8803139,-0.04,-0.0282,26-Sep-19,0.119984
9/27/2019,140.35,141.06,141.68,140.16,9665953,140.35,141.06,141.68,140.16,9665953,-0.73,-0.5148,27-Sep-19,0.114218
9/30/2019,139.77,138.87,140.21,138.03,15530068,139.77,138.87,140.21,138.03,15530068,-2.19,-1.5525,30-Sep-19,0.096919
